,Name,Author,Price(£)
128,A Little Hatred,Joe Abercrombie,9.54
129,Death to the Emperor,Simon Scarrow,22.00
130,Never,Ken Follett,20.00
131,The Pretender's Gold,Scott Mariani,7.99
132,Folk,Zoe Gilbert,9.99
133,A Column of Fire,Ken Follett,10.99
134,The Master of Measham Hall,Anna Abney,8.99
135,Morning Star,Pierce Brown,10.10
136,The Black Mountain: Quick Reads 2022,Kate Mosse,3.99
137,In Cold Blood,Mark Dawson,8.99
138,Record of a Spaceborn Few,Becky Chambers,8.99
139,The Girl Who Broke the Sea,A. Connors,8.99
140,The Way of Kings Part One,Brandon Sanderson,16.99
141,Dark Imperium,Guy Haley,9.83
142,Dark Horse,Gregg Hurwitz,9.99
143,The City of Brass,Shannon Chakraborty,10.43
144,Dark Watch,Clive Cussler,11.03
145,Suspects,Lesley Pearse,9.99
146,The Flame Bearer,Bernard Cornwell,9.99
147,The Silver Serpent,Scott Mariani,8.99
148,Steel Fear,Brandon Webb,9.99
149,The Things They Carried,Tim O'Brien,9.99
150,When the Lion Feeds,Wilbur Smith,10.99
151,Total Blackout,Alex Shaw,8.99
152,The Demon Code,David Leadbeater,7.99
153,Sword of Kings,Bernard Cornwell,9.99
154,The Night Watch,Neil Lancaster,8.99
155,Orphan X,Gregg Hurwitz,9.99
156,Traitors of Rome (Eagles of the Empire 18),Simon Scarrow,10.43
157,The Berlin Gambit,David O'Donnell,11.24
158,Fire and Blood,George R.R. Martin,25.00
159,The Diamond Eye,Kate Quinn,10.43
160,Shadow State,Andy McNab,16.99
161,A Second Chance,Jodi Taylor,10.99
162,Pincher Martin,William Golding,8.99
163,Blood Runs Cold,Neil Lancaster,14.99
164,Pyramids,Terry Pratchett,9.99
165,The Mountain Shadow,Gregory David Roberts,11.03
166,Ready Player Two,Ernest Cline,9.99
167,A Column of Fire (The Kingsbridge Novels),Ken Follett,20.00
168,The Eagle's Prophecy (Eagles of the Empire 6),Simon Scarrow,9.99
169,Brothers in Blood (Eagles of the Empire 13),Simon Scarrow,10.10
170,Mayday!,Clive Cussler,8.99
171,A Divided Spy,Charles Cumming,9.99
172,Copperhead,Bernard Cornwell,10.43
173,Call of the Raven,Wilbur Smith,9.35
174,The Secret Service of Tea and Treason,India Holton,9.99
175,The Forgotten Holocaust,Scott Mariani,10.43
176,The Girl and the Moon,Mark Lawrence,9.83
177,The Blood Crows,Simon Scarrow,10.99
178,Vengeance: Empire XII,Anthony Riches,9.99
179,The Last Tudor,Philippa Gregory,8.99
